selecao,conf,continente,host,rank_fifa,valor_eur_m,vitorias_4a,gols_elite,ast_elite,min_elite,is_UEFA,is_CONMEBOL,is_CAF,is_CONCACAF,is_AFC,is_OFC,is_Europa,is_AmericaSul,is_Africa,is_Asia,is_CONCACAF_reg,is_Oceania
África do Sul,CAF,África,FALSE,60,49.25,12,5,4,4500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Alemanha,UEFA,Europa,FALSE,10,947.00,26,95,85,62000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Arábia Saudita,AFC,Ásia,FALSE,61,40.68,14,2,1,2000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Argélia,CAF,África,FALSE,28,256.90,16,30,27,25000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Argentina,CONMEBOL,América do Sul,FALSE,1,807.50,30,45,40,38000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Austrália,AFC,Ásia,FALSE,27,77.45,14,12,10,10000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Áustria,UEFA,Europa,FALSE,24,245.20,18,38,33,32000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bélgica,UEFA,Europa,FALSE,9,547.50,20,42,38,36000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bósnia e Herzegovina,UEFA,Europa,FALSE,64,146.40,13,20,17,17000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Brasil,CONMEBOL,América do Sul,FALSE,6,928.20,22,65,58,48000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cabo Verde,CAF,África,FALSE,67,49.25,12,10,8,8000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Canadá,CONCACAF,América do Norte,TRUE,30,198.65,15,20,17,17000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Catar,AFC,Ásia,FALSE,56,19.93,16,1,1,900,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Colômbia,CONMEBOL,América do Sul,FALSE,13,302.35,20,32,28,26000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Coreia do Sul,AFC,Ásia,FALSE,25,139.05,19,18,14,15000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Costa do Marfim,CAF,África,FALSE,33,522.10,20,32,28,26000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Croácia,UEFA,Europa,FALSE,11,387.30,19,25,22,22000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Curaçao,CONCACAF,América Central/Caribe,FALSE,82,25.78,9,5,4,5000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Egito,CAF,África,FALSE,29,116.48,14,15,14,13000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Equador,CONMEBOL,América do Sul,FALSE,23,368.70,16,15,13,14000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Escócia,UEFA,Europa,FALSE,42,170.25,16,20,17,18000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Espanha,UEFA,Europa,FALSE,2,1220.00,33,65,60,48000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Estados Unidos,CONCACAF,América do Norte,TRUE,17,385.60,22,20,17,16000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
França,UEFA,Europa,FALSE,3,1520.00,28,70,65,50000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Gana,CAF,África,FALSE,73,234.50,12,15,12,13000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Haiti,CONCACAF,América Central/Caribe,FALSE,83,55.90,9,8,6,7000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Holanda,UEFA,Europa,FALSE,8,754.20,24,50,45,40000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Inglaterra,UEFA,Europa,FALSE,4,1360.00,27,85,75,58000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Irã,AFC,Ásia,FALSE,20,32.05,16,8,6,7000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Iraque,AFC,Ásia,FALSE,57,21.20,12,2,1,2000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Japão,AFC,Ásia,FALSE,18,270.85,22,22,18,18000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Jordânia,AFC,Ásia,FALSE,63,20.30,15,3,2,3000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Marrocos,CAF,África,FALSE,7,447.70,22,28,25,22000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
México,CONCACAF,América do Norte,TRUE,14,191.85,18,10,8,8000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Noruega,UEFA,Europa,FALSE,31,589.90,20,35,28,28000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nova Zelândia,OFC,Oceania,FALSE,85,34.45,10,5,4,4000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Panamá,CONCACAF,América Central/Caribe,FALSE,34,34.55,12,8,6,7000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Paraguai,CONMEBOL,América do Sul,FALSE,41,153.65,13,12,10,10000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Portugal,UEFA,Europa,FALSE,5,1010.00,26,60,55,45000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RD Congo,CAF,África,FALSE,46,143.90,14,18,15,14000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
República Tcheca,UEFA,Europa,FALSE,40,188.18,15,18,15,16000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Senegal,CAF,África,FALSE,15,478.10,18,30,27,25000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Suécia,UEFA,Europa,FALSE,38,406.08,18,25,20,20000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Suíça,UEFA,Europa,FALSE,19,332.50,18,35,32,30000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tunísia,CAF,África,FALSE,45,69.95,13,15,12,12000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Turquia,UEFA,Europa,FALSE,22,473.70,18,25,22,22000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Uruguai,CONMEBOL,América do Sul,FALSE,16,359.30,19,22,19,18000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Uzbequistão,AFC,Ásia,FALSE,50,85.33,12,4,3,4000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
